Ohringen,Bad.Lippspringe,Eberbach.Neckar,Ebersberg.Halbing,Ebrach,Eichstatt.Landershofen,Miltenberg,Ellwangen.Rindelbach,Eppingen,Mohrendorf.Kleinseebach,Eutin,Geisenheim,Gilserberg.Moischeid,Gluckstadt,Gossweinstein,Hechingen,Weddingstedt,Kr.Dithmarschen.Helse,Niederworresbach,Hildesheim,Hollenstein.Kraftwerk,Konigsmoor,Kronach,Bad.Lauchstadt,Lensahn,Lingen,Luchow,Heinersreuth.Vollhof,Mayen,Melle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,37,107,20,25,4,20,37,22,0,0,18,0,0,28,31,0,0,44,0,6,0,4,0,0,2,0,11,29,0
1,220,46,9,36,46,19,37,1,22,13,70,64,47,65,57,8,12,9,252,35,145,35,105,9,163,156,82,32,245
70,88,42,60,92,121,59,76,65,122,22,22,47,26,65,61,6,24,45,52,111,50,78,11,20,9,29,130,5,52
0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,12,12,0,8,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
43,0,48,38,17,31,79,66,68,0,0,52,68,0,0,77,0,0,73,0,0,0,0,0,0,88,0,0,40,0
7,13,8,108,35,37,18,37,33,10,0,3,25,0,0,20,0,0,6,37,15,0,6,0,0,58,0,0,0,27
40,32,0,82,19,5,57,10,0,0,1,109,6,0,0,36,0,0,59,0,2,0,0,0,0,0,0,9,106,1
10,9,84,9,70,32,63,171,170,72,2,61,154,0,50,153,0,0,26,54,2,0,68,131,2,50,4,87,0,140
88,20,23,0,116,0,4,38,47,0,180,10,88,146,0,26,8,0,0,100,0,91,8,45,263,180,83,0,35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,5,0,0,0,0,0,0,12,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2
0,0,0,65,18,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,5,3,5,0,2,0,0,29,3,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,32,0,27,37,15,59,99,20,0,45,109,0,52,22,0,0,81,41,50,3,0,5,0,29,0,16,0,24
2,138,63,85,0,9,60,1,7,60,82,77,58,60,24,11,185,187,43,70,51,94,9,56,93,69,63,38,162,112
0,0,68,167,0,15,0,1,1,0,1,0,0,0,0,6,0,0,2,0,49,4,47,0,2,0,0,1,27,3
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
20,28,56,36,36,5,48,25,31,10,29,26,46,10,30,33,163,76,46,8,4,0,18,0,47,7,13,21,0,13
3,0,4,440,21,54,0,5,0,63,33,0,0,14,37,16,105,172,0,2,90,10,14,0,118,7,0,1,0,17
0,0,0,63,0,45,1,14,1,0,15,0,0,0,22,0,0,0,0,0,12,0,4,0,0,0,0,81,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,10,7,0,0,0,19,2
20,17,123,19,41,45,39,29,35,50,22,3,40,24,30,84,34,12,26,11,34,22,19,28,8,14,0,28,6,57
80,41,78,23,2,11,14,69,19,8,0,11,31,38,81,30,37,88,27,20,94,30,11,0,0,66,0,54,32,5
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,57,3,5,0,0,0,1,26,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,32,36,0,0,0,15,0,0,0,0,8,0,0,0
2,0,0,0,0,0,0,0,9,0,106,0,0,112,0,33,135,173,7,0,0,6,0,3,91,0,28,0,7,0
0,0,3,0,0,0,0,0,1,0,1,5,0,0,0,0,17,0,7,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,0,9,12,0,0,0,11,12,0,0,0,0,0,0,11,0,0,2,0,3,0,0,0,0,1,0,0,5,0
84,45,44,371,40,29,54,77,38,14,2,31,64,0,11,21,10,2,56,58,58,20,26,10,0,7,62,1,45,60
12,55,66,16,28,30,78,33,7,23,2,1,62,8,27,33,0,0,43,7,72,1,48,60,10,16,0,37,19,32
30,5,145,0,26,0,90,25,51,0,21,52,45,34,52,6,105,47,121,37,0,46,59,3,21,22,18,23,22,59
48,0,41,0,46,14,55,53,29,45,13,19,29,4,28,41,19,0,23,20,0,4,42,12,0,0,42,19,0,0
1,0,31,16,33,24,48,14,15,25,172,15,0,188,41,37,143,200,26,11,101,77,53,79,184,0,54,56,0,0
0,218,1,0,0,7,2,2,2,0,153,0,8,156,0,0,65,150,4,73,3,115,0,0,253,99,94,0,2,61
60,83,131,0,68,35,113,58,38,18,21,55,214,14,80,63,80,4,54,120,8,23,93,10,10,112,22,25,0,95
142,52,140,60,54,17,56,80,106,112,2,18,22,60,70,115,40,46,101,46,90,37,30,10,0,3,43,37,100,11
80,68,111,69,113,90,92,150,129,80,17,16,75,64,160,134,24,80,23,14,55,55,77,2,59,168,122,78,92,80
3,21,10,21,26,0,1,2,4,8,0,7,3,0,82,0,0,0,24,0,5,2,30,8,17,5,0,5,57,17
0,0,0,11,0,0,3,0,0,0,11,0,23,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,4
0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0
0,113,0,0,0,0,0,0,0,0,85,1,0,36,0,0,36,125,3,30,0,48,10,28,50,80,47,0,17,31
11,21,11,8,19,3,20,15,10,50,0,3,0,0,12,28,0,0,0,14,18,0,12,2,0,5,0,22,0,12
0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,6,18,7,0,21,0,10,0,0,0,0,10,0,0,0,0,15,12,0,26,16,0,0,31,6,0,0
0,0,8,65,19,49,1,20,2,35,16,0,0,20,5,0,1,0,0,0,15,5,10,0,28,9,23,33,0,33
0,31,21,0,20,2,34,9,0,18,32,0,9,4,20,0,36,45,0,23,15,5,0,5,41,9,7,3,0,0
0,5,0,29,0,0,0,0,0,0,9,0,7,0,0,0,38,0,0,17,2,1,0,0,11,0,38,0,0,0
0,0,0,0,0,0,0,0,0,0,29,1,1,0,0,0,2,0,11,16,4,0,0,0,50,0,7,1,0,4
0,0,8,0,0,0,3,1,7,0,2,3,0,0,0,16,0,0,7,0,0,0,0,1,0,5,0,0,19,8
0,0,2,0,3,0,0,4,1,0,1,3,0,0,0,41,0,0,4,0,0,0,0,0,0,11,0,0,7,0
0,58,8,0,3,0,2,0,26,0,69,40,0,148,0,0,69,96,68,23,0,62,0,6,99,71,0,1,0,57
0,0,0,0,0,0,0,0,0,0,18,0,1,4,0,0,33,20,0,0,0,2,0,1,17,1,3,0,0,2
0,0,0,0,0,0,1,0,2,0,2,0,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,21,28,0,14,6,0,0,0,11,2,0,17,4,8,0,0,60,1,10,0,0,6,0,8,14,11
0,25,11,31,10,20,11,19,12,10,16,54,13,12,0,26,5,12,57,0,16,6,24,0,11,20,4,13,25,15
0,55,31,14,51,8,38,22,35,15,0,27,41,0,0,28,0,3,3,30,5,8,30,65,0,10,36,9,65,44
15,0,45,4,11,17,12,45,70,17,27,24,0,10,16,105,8,0,51,0,0,1,0,7,44,0,0,2,0,7
25,0,54,18,51,42,77,88,89,15,46,14,7,5,60,111,10,0,13,0,43,2,27,0,46,0,0,23,40,0
43,0,34,10,44,77,13,49,23,110,0,21,12,0,82,5,0,0,24,9,98,1,53,60,0,1,7,82,30,0
0,0,0,0,7,7,0,5,0,8,3,1,4,0,0,0,0,0,0,8,7,0,0,6,0,0,0,2,0,0
16,0,23,0,9,0,23,4,15,0,0,6,10,0,0,36,0,0,0,0,0,0,0,0,0,0,47,0,0,0
0,75,7,19,7,0,3,0,0,0,55,0,6,30,0,0,20,22,0,84,26,68,0,6,73,0,38,3,0,12
0,25,0,4,0,0,0,0,0,0,2,0,5,0,0,0,10,0,0,24,11,6,4,52,0,1,0,0,0,16
0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,12,0,25,0,11,0,4,0,13,12,0,0,0
1,0,0,0,2,1,5,1,1,13,38,0,0,0,12,4,0,0,4,0,0,0,0,2,43,0,0,7,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0
0,35,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,64,0,11,0,18,0,5,0,20,12,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,47
0,0,0,57,0,2,0,16,11,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,51,0,0,54,0,0,65,4,0,3,0,32,0,0,28,39,36,0,0,28
0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,18,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0
0,28,0,0,2,0,0,2,0,0,0,0,11,0,0,0,0,1,1,34,0,5,0,6,0,13,0,1,18,0
6,11,0,0,4,3,4,5,4,10,2,0,1,0,0,0,0,0,0,0,5,3,20,5,0,1,5,15,0,2
5,24,0,39,0,20,8,1,0,7,0,0,1,6,20,0,0,2,0,0,56,3,0,6,0,13,0,21,6,5
0,10,6,123,17,19,0,4,7,0,0,7,4,0,0,1,0,0,12,12,37,3,10,2,0,0,0,22,25,24
0,21,0,14,0,2,0,0,0,0,2,0,0,4,0,0,3,0,0,0,9,2,10,1,0,2,0,2,0,0
0,0,1,1,0,0,2,4,0,0,2,0,0,6,0,0,9,0,0,0,0,4,20,1,0,3,0,4,0,0
0,0,1,0,0,0,4,2,1,0,1,0,0,0,0,0,8,0,0,0,16,2,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,13,51,0,1,14,0,0,50,15,0,0,0,0,0,0,26,3,0,0,0,0
0,0,0,0,0,0,0,1,0,0,8,0,7,46,0,0,30,5,3,0,0,15,0,0,0,0,13,0,0,0
12,10,39,0,0,0,25,0,39,0,8,2,9,20,0,0,20,8,5,15,0,7,0,0,0,7,0,1,0,7
0,0,10,0,10,0,0,0,2,0,28,16,22,6,0,0,9,0,6,0,0,5,0,5,15,0,29,0,0,0
18,0,0,45,0,26,2,11,13,0,0,0,4,14,0,0,0,0,0,38,12,0,0,0,0,0,0,0,0,0
20,30,29,0,31,27,41,50,44,39,35,32,30,20,45,69,52,0,49,32,2,15,10,13,22,8,0,9,55,28
1,10,0,12,0,1,0,1,1,0,0,0,0,14,0,0,0,0,0,0,0,9,0,10,2,0,0,0,0,0
0,0,0,0,0,3,2,0,0,0,15,0,0,38,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0
2,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0
1,0,6,0,0,0,14,0,3,0,3,3,0,0,0,0,3,0,13,0,0,2,0,1,1,2,3,1,0,0
27,30,46,3,21,0,8,33,54,8,42,24,20,52,20,20,52,32,40,14,5,24,0,0,41,75,20,7,44,17
65,15,47,53,78,75,23,47,64,60,23,36,19,5,56,10,0,0,20,31,63,22,70,64,18,12,41,36,0,18
1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,10,2,0,0,1,1,5,0,1,2,0,0,0,0
0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,6,0,0,0,1,0,0
0,11,3,0,8,11,5,10,2,4,5,10,0,8,11,0,12,0,7,0,3,1,3,0,0,30,0,15,0,0
4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,2,3,0,0,5,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,30,0
32,71,56,35,39,58,32,25,15,60,85,35,88,42,27,0,71,40,78,5,83,36,70,30,103,57,52,51,81,0
1,13,2,13,0,3,0,1,0,0,8,0,0,4,50,0,20,9,4,10,25,12,5,0,0,28,0,3,4,90
36,42,140,2,33,30,86,34,71,12,55,90,115,36,30,133,47,0,219,18,52,34,132,10,47,46,16,42,75,24
52,74,100,0,58,26,123,48,64,45,25,8,67,5,61,80,12,0,42,54,18,39,55,1,32,28,0,53,2,132
18,17,15,0,18,17,3,16,4,7,35,10,22,5,0,0,12,0,9,2,8,1,0,0,36,6,11,4,16,65
29,95,134,43,31,33,9,11,13,38,95,23,57,112,74,21,105,75,29,10,28,100,84,8,86,47,58,45,26,23
8,105,47,21,12,1,36,4,14,13,42,15,154,32,45,28,15,48,45,60,13,147,43,2,19,99,63,22,14,17
11,9,0,67,13,0,18,13,0,0,6,0,0,9,20,0,8,8,0,25,0,39,0,7,0,41,12,6,0,0
0,0,0,37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,15,76,0,67,23,21,42,55,42,22,0,15,18,40,31,27,16,27,3,0,40,50,0,30,52,11,40,2,52
118,85,69,23,55,37,49,107,34,38,15,50,38,18,80,24,13,14,26,26,79,21,89,1,14,47,0,74,0,50
0,27,18,49,17,47,18,35,14,27,0,2,12,0,102,93,0,0,10,8,62,1,10,16,3,0,0,25,77,10
0,0,2,14,0,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,0,0
0,30,10,2,6,2,10,7,7,8,15,3,4,4,5,0,14,5,9,10,8,9,10,1,7,40,0,10,0,20
47,90,49,19,28,19,24,46,70,10,81,49,0,28,0,53,9,16,64,50,24,13,12,19,38,78,57,6,85,40
0,0,17,5,3,3,12,0,4,0,0,0,23,0,0,9,0,0,38,3,0,0,12,5,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,53,0,1,15,0,0,49,8,0,0,0,0,0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,0,1,6,0,0,20,4,0,15,0,19,0,5,12,11,17,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,7,1,0,0,0,7,0,0,30,2,0,0,0,6
0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,13,0,0,14
0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,5,0,0
3,0,0,0,0,2,0,2,1,9,9,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,5,1,0,0
0,0,6,0,0,1,3,0,0,0,10,4,0,0,13,0,0,0,1,4,0,4,22,7,7,0,10,5,0,0
0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,0,2
0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0
0,17,0,0,0,0,0,0,0,0,33,0,0,14,0,0,39,17,0,21,0,12,0,2,0,0,15,0,0,2
0,25,0,90,0,1,0,1,0,5,0,0,0,0,0,0,4,13,0,20,3,7,30,21,0,2,9,35,0,11
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,2,0,0
0,0,2,4,0,1,0,2,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,16,0,0,24,0,0,22,21,0,0,0,11,0,0,0,0,20,0,0,0
1,65,0,0,0,0,0,0,0,0,29,0,7,36,5,0,36,28,0,130,2,125,52,227,3,13,100,10,0,23
28,0,21,2,2,2,3,11,15,0,6,64,3,15,15,0,16,27,3,51,25,21,35,119,6,0,13,13,0,65
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,2,16,72,0,0,27,19,6,0,0,25,0,11,1,60,0,0,0,1
0,98,3,0,0,0,3,0,0,0,64,38,70,0,0,0,9,4,88,82,0,50,0,0,64,74,21,0,136,45
12,0,75,0,8,0,45,19,76,0,39,20,53,0,55,40,27,42,11,73,49,37,15,1,51,2,82,108,0,21
0,0,0,19,0,14,0,7,7,12,0,0,5,0,5,23,0,0,1,0,35,0,0,0,0,0,0,2,0,0
12,0,8,5,13,5,19,33,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,4,0,1,2,8,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0
30,31,24,24,38,18,4,35,24,0,6,13,0,14,35,54,27,0,19,8,10,4,28,18,7,21,0,29,0,66
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,1,0,0,0,0,12,0
0,3,0,0,0,0,0,0,0,0,31,0,0,22,0,0,61,36,0,20,0,18,0,0,19,3,4,0,0,3
40,81,122,0,7,26,28,14,16,50,23,26,97,94,39,24,63,71,55,0,15,85,0,6,72,138,54,17,0,186
56,11,32,51,25,25,52,26,44,0,48,0,23,22,0,37,34,18,1,24,64,16,5,0,21,32,6,10,31,77
26,0,0,0,0,0,0,0,0,0,17,0,0,4,21,0,13,0,0,0,2,25,0,0,11,0,3,1,0,11
18,20,39,33,26,88,29,55,70,57,0,22,15,0,50,61,0,0,43,10,78,11,32,0,0,0,0,17,0,0
80,8,67,2,90,41,42,34,40,80,0,43,45,0,80,0,0,0,45,2,27,0,80,0,0,0,0,54,0,4
35,25,65,7,28,9,30,5,8,25,38,93,55,35,40,0,30,33,157,12,27,18,30,21,45,72,37,18,132,48
0,0,73,51,68,74,38,44,43,23,11,14,16,3,55,38,46,4,5,5,20,1,25,2,57,5,28,25,9,0
1,0,0,48,0,0,3,0,6,0,13,0,16,22,0,0,16,21,12,0,0,23,0,0,12,6,24,0,1,16
8,33,35,0,0,0,27,6,6,0,29,37,0,7,0,13,11,8,110,40,0,0,0,8,13,48,7,9,0,16
0,1,9,29,7,3,3,4,10,0,9,0,0,0,0,0,2,0,11,3,40,5,17,0,0,11,0,2,33,2
35,1,2,19,0,0,0,0,0,0,12,15,24,40,0,0,23,9,63,0,0,0,0,0,31,29,0,0,22,0
43,5,34,0,78,7,16,43,71,46,21,25,0,21,0,72,72,50,86,0,0,30,43,0,3,81,0,23,120,60
6,21,15,4,6,0,18,22,9,0,36,3,50,24,0,0,46,38,29,12,16,35,0,0,41,40,13,0,6,63
16,0,20,0,0,0,0,2,14,0,0,22,20,0,0,45,12,0,23,0,0,0,0,0,0,1,0,0,6,0
28,11,29,0,12,3,45,9,27,0,20,29,0,4,0,0,7,7,38,0,0,0,0,0,27,4,0,0,20,0
0,13,2,11,0,4,19,24,0,42,3,22,0,0,95,16,0,1,25,9,0,0,0,0,5,23,0,32,9,14
8,1,7,29,0,0,38,4,8,95,13,3,36,3,90,38,8,2,8,5,0,1,7,0,0,2,0,119,0,0
15,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0
0,0,0,0,0,5,1,0,0,0,22,0,0,0,0,0,5,2,0,0,2,1,0,0,31,0,0,6,0,0
0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,11,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,20,0,0,0,0,0,0,0,14
0,55,0,0,0,0,0,0,0,0,242,0,0,101,0,0,87,16,0,68,0,40,0,0,138,28,86,0,0,51
0,0,0,0,0,0,0,0,0,0,58,0,0,3,0,0,2,0,0,0,0,1,0,0,30,0,12,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,11,0,0,0,21,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,27,0,2,0,0,0,0,34,0,0,0,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
70,0,63,146,112,163,65,83,34,37,0,61,85,0,35,16,0,0,27,0,582,0,64,120,0,94,0,77,100,5
0,38,0,0,0,0,0,0,0,0,2,0,13,0,15,0,12,38,0,0,6,25,55,97,14,33,54,17,0,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,223,0,0,306,2,2,155,12,65,27,0,67,92,131,31,56,101,0,95,0,23,164,1,13,20,7,134,0,42
20,34,2,0,0,0,0,28,1,0,30,7,13,0,0,0,0,0,5,17,2,1,0,0,45,0,34,3,0,4
0,1,0,0,2,2,3,0,0,11,0,10,4,0,5,7,2,2,0,0,0,2,0,4,0,0,0,5,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,42,0,0,34,0,0,2,0,0,0,0,18,0,1,39,14,14,0,0,0
0,0,0,0,0,0,0,0,0,0,19,0,2,8,0,0,47,27,0,17,0,0,0,0,19,95,19,0,1,0
3,17,0,0,0,0,0,0,0,0,52,12,8,48,0,0,120,58,7,20,0,10,0,0,9,79,29,0,18,24
0,0,0,0,0,10,0,100,2,83,16,0,0,0,6,11,10,8,0,0,25,2,0,0,29,0,0,25,0,0
0,18,28,13,45,19,0,1,0,0,6,0,46,0,0,0,9,1,13,0,14,9,0,12,4,18,17,9,0,52
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,78,0,0,1,6,0,26,0,0,33,22,28,0,0,20,18,66,0,0,24,0,1,0,189,0,0,170,162
