Ohringen,Bad.Lippspringe,Eberbach.Neckar,Ebersberg.Halbing,Ebrach,Eichstatt.Landershofen,Miltenberg,Ellwangen.Rindelbach,Eppingen,Mohrendorf.Kleinseebach,Eutin,Geisenheim,Gilserberg.Moischeid,Gluckstadt,Gossweinstein,Hechingen,Weddingstedt,Kr.Dithmarschen.Helse,Niederworresbach,Hildesheim,Hollenstein.Kraftwerk,Konigsmoor,Kronach,Bad.Lauchstadt,Lensahn,Lingen,Luchow,Heinersreuth.Vollhof,Mayen,Melle
15,0,23,0,28,0,12,8,18,1,8,24,81,0,3,20,0,1,15,7,0,0,30,29,0,4,0,15,56,2
0,5,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
5,68,26,0,6,0,0,1,5,1,44,23,31,23,0,0,21,14,38,63,0,0,15,0,43,16,46,0,46,51
11,6,10,0,36,0,12,9,10,1,3,35,7,0,4,72,2,0,56,13,0,6,42,42,0,0,0,13,30,0
22,7,3,6,40,10,38,45,8,33,5,27,2,4,58,0,16,3,35,0,12,33,35,22,11,2,0,27,0,5
45,0,1,9,18,3,16,17,15,24,3,14,1,0,17,0,10,10,17,17,23,0,18,6,2,3,6,22,0,4
2,0,0,5,0,5,0,7,8,12,0,0,0,0,9,0,3,0,4,0,1,0,0,0,1,0,0,1,0,0
15,0,0,2,0,2,0,10,0,7,1,0,0,0,3,0,0,0,0,0,24,0,0,7,0,0,0,9,0,0
0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,21,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0
15,31,55,42,22,0,5,18,12,6,35,12,14,42,22,0,70,32,19,12,24,0,31,0,47,27,6,10,10,22
11,32,70,0,18,27,50,20,35,10,23,35,150,65,32,14,90,64,86,3,4,32,19,0,18,97,17,36,124,95
46,43,7,87,15,80,0,66,21,2,65,6,33,78,28,134,140,43,4,57,15,0,19,3,49,48,0,31,0,62
0,4,25,11,2,1,24,9,12,2,20,0,8,0,0,0,0,0,0,0,10,0,65,0,1,2,0,1,0,0
39,0,0,50,0,26,0,4,1,25,0,0,0,0,23,0,0,0,0,0,2,10,0,0,0,0,0,1,0,0
0,2,3,3,0,0,0,0,0,1,8,2,2,0,0,0,30,20,3,2,0,10,0,0,5,26,0,0,0,6
1,15,36,0,41,0,6,22,8,1,0,70,72,27,12,0,0,4,135,3,0,18,11,0,3,49,8,2,49,63
20,2,35,9,16,0,35,20,48,1,31,63,14,0,0,64,51,9,66,0,0,0,4,0,26,1,0,0,176,0
0,0,0,0,0,0,0,0,0,0,36,2,0,25,0,0,30,2,0,0,0,0,0,0,29,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
35,38,10,97,38,35,13,25,15,45,23,15,0,0,32,0,60,28,12,0,41,6,0,17,10,35,0,37,0,8
6,0,0,81,11,24,0,17,2,30,0,0,0,29,26,38,0,0,0,0,131,0,11,5,0,0,0,30,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,3,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,1,0,0,0,7,0,0,0,0
10,27,27,9,23,13,34,10,18,29,80,52,17,0,28,0,102,65,9,0,21,27,64,7,59,40,28,34,0,6
