9,20,15,14,28,8,20,21,8,27,16,11,0,0,22,13,0,0,8,7,10,0,7,7,2,9,12,8,0,0,
0,54,0,0,0,1,0,0,0,0,5,6,0,0,0,0,0,57,0,0,6,0,0,0,0,0,0,0,0,0,
7,326,20,0,28,0,12,0,5,0,68,52,0,54,45,0,69,58,16,0,0,42,45,0,59,35,17,0,0,52,
78,359,156,149,139,176,120,151,170,195,121,50,213,68,160,30,100,54,42,137,222,140,110,63,127,150,67,132,0,189,
44,49,148,42,50,53,40,106,48,18,53,17,0,88,333,31,65,21,8,401,290,182,249,30,111,112,214,76,0,457,
0,123,30,0,9,14,4,5,0,3,95,0,0,21,55,0,15,0,0,23,90,61,8,22,59,16,67,1,0,0,
0,51,10,0,0,1,0,2,0,3,28,0,0,28,32,0,67,51,17,5,3,8,17,0,32,0,0,0,0,43,
36,0,111,0,56,5,117,17,16,32,122,58,0,128,2,52,174,131,174,81,102,127,118,30,130,227,71,111,126,21,
137,1,154,84,68,37,92,103,114,66,38,83,204,4,60,121,115,21,38,27,20,4,50,2,52,0,0,32,24,239,
85,0,124,49,142,47,124,52,76,131,16,67,13,0,50,54,7,5,43,0,63,0,135,0,0,6,0,131,0,0,
0,0,1,0,11,1,0,0,0,4,3,0,0,0,22,0,0,0,0,4,6,0,0,0,0,0,0,5,0,0,
0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,20,0,0,1,0,1,0,3,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,3,13,0,0,9,0,0,20,0,0,0,53,0,
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
41,11,44,0,54,20,58,12,29,11,37,6,24,18,0,36,57,1,8,4,0,31,25,4,30,36,13,1,0,22,
1,0,0,26,4,21,0,2,0,17,1,0,1,0,30,0,0,0,0,0,34,2,5,2,0,1,0,11,0,0,
0,0,3,0,0,1,0,0,0,0,9,0,0,2,0,0,8,3,4,0,0,1,0,0,12,0,0,2,0,16,
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,
12,0,17,8,13,0,10,5,3,9,23,0,0,6,20,0,16,5,10,0,4,11,0,0,35,8,0,13,0,10,
0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,1,0,0,0,3,0,0,0,10,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
