1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,13.0,148.0,0.0,43.0,1.0,138.0,54.0,81.0,95.0,0.0,17.0,19.0,15.0,62.0,98.0,8.0,1.0,0.0,100.0,8.0,0.0,164.0,12.0,0.0,1.0,201.0,104.0,50.0,0.0
42.0,0.0,2.0,39.0,0.0,14.0,0.0,10.0,4.0,63.0,6.0,0.0,0.0,88.0,0.0,29.0,112.0,60.0,0.0,49.0,101.0,66.0,4.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0
23.0,0.0,0.0,3.0,43.0,1.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,15.0,13.0,0.0,0.0,11.0,25.0,0.0,0.0
17.0,25.0,155.0,261.0,108.0,98.0,258.0,334.0,174.0,26.0,20.0,6.0,51.0,16.0,0.0,216.0,27.0,95.0,11.0,3.0,0.0,0.0,18.0,1.0,45.0,0.0,0.0,1.0,0.0,0.0
30.0,300.0,535.0,131.0,61.0,85.0,695.0,229.0,490.0,3.0,9.0,313.0,469.0,4.0,21.0,233.0,5.0,10.0,86.0,59.0,28.0,0.0,23.0,5.0,15.0,273.0,11.0,4.0,0.0,301.0
5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,4.0,64.0,0.0,0.0,2.0,11.0,0.0,37.0,0.0,176.0,0.0,0.0,28.0,90.0,63.0,0.0,86.0,57.0
13.0,27.0,0.0,18.0,18.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
