0,0.629758,0,
0,0.0295936,0.0118017,
0,0.0426255,8.94226e-3734,
0,0.0178954,0.0475627,
0.112965,0.00674617,2.23556e-3734,
0,0.0179513,0.0235528,
0.106167,0.00733313,0,
0,0.00437929,0.0229356,
3.73698e-3734,0.00801927,0.0150894,
0.0167055,0.00491329,0.0399052,
0,0.00543993,0.0287879,
0,0.0135592,0.00542474,
0,0.0138014,0.00934908,
0,0.0137502,0,
0,0.00620899,0.0261238,
0,0.00310942,0.0178081,
0,0.0082501,0,
0.0159246,0.00149549,0.0281622,
0,0.00275003,0,
0,0.00232235,0.00624484,
0.071872,0.00281234,0.0259189,
0.0173345,0,0.0233946,
0,0.00371386,0.0109509,
0.0320594,0,0.161888,
6.4356e-3488,0.00479601,0.00243896,
0.0531775,0.0105335,0,
0.0436542,0.00998082,0,
3.73698e-3734,0.00687508,0,
0.0159246,0,0,
0,0.00277939,0.0141881,
0,0,0.0238163,
0,0,0.019053,
0,0.00155086,0.0232072,
0,0.00550007,0,
0,0.00687508,0,
0,0.00275003,0,
0,0.00412505,0,
0.0178589,1.41986e-1216,0.0184744,
0,0.0110001,0,
0,0.00168976,0.00367295,
0,0.00962512,0,
0.0408605,0.00197194,0,
0,0,0.00476326,
0,0.00137502,0.019053,
0.0318492,0,0,
0,0.00137502,0,
0,0.00263182,0.0146993,
0,0.00550007,1.11778e-3734,
0,0.00275003,0,
0.0159246,0,0,
0,0.0043972,0.00382048,
0,6.38712e-3439,0.00952652,
0,0,0.019053,
0.0159246,0,0,
0.0159246,0,0.00476326,
0,0,0,
0,0,0,
0,0,0.00476326,
0,0,0.00952652,
0,0,0,
0,0,0,
0,0.00137502,0,
0,0.00275003,0,
0,0.00181667,0.0318129,
0,0,0.00476326,
0,0.00137502,0,
0,0.00275003,0,
0,0,0.00476326,
0.0159246,0.00137502,0,
0.0195205,0,0.0179774,
0,0.00221392,0.0161469,
0,0,0,
0,0.00137502,0,
0,0,0,
0,0,0,
0.0477737,0,0,
0.0159246,0,0.00476326,
0,0.00412505,4.47113e-3734,
0.0318492,0,0,
0,0,0.00476326,
0,0.00137502,0.00952652,
0,0,0,
0,0.00137502,0,
0,0,0,
0.0238709,0.00138629,0.0071106,
0,0,0.00952652,
0,0,0,
0,0.00137502,0,
0,0,0,
0,0,0.0142898,
0,0.00156866,0.00409245,
0,0.00137502,1.11778e-3734,
0,0,0.00476326,
0,0.00140904,0.00464539,
0,0.00137502,0,
0,0,0.00476326,
0,0,0,
0.0318492,0,0,
0,0.00137502,0,
0,0,0.00476326,
0,0,0.00476326,
0.0318492,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0.00476326,
0,0,0,
0,0,0,
0.0159246,0,0,
0,0.00137502,0,
0,0.00137502,0,
0,0,0,
0,0,0.00476326,
0,0,0.00476326,
0,0,0,
0,0.00137502,0,
0.0159246,6.45343e-3735,0.00476326,
0,0,0.0142898,
0.0139902,0.00154204,0,
0,0,0.00476326,
0,0.00137502,0,
0,0,0,
0,0,0.0142898,
0,0,0.00952652,
0,0,0,
0,0.00137502,0,
0,0,0,
0,0,0,
0,0,0,
